Item,Description,Qty,Unit Price USD,Total USD,Item link,Why I need it,Supplier,Status,Notes
ALREADY OWN,no cost. these are on hand,,,,,,,,
MG996R servo,"metal gear servo. 55g, 25t spline. i measured mine at 39.9 x 19.7 x 42.9mm",1,0.00,0.00,N/A,the only thing in the build that moves. it tilts the pan and the item slides off one side or the other,N/A,OWNED,Measured mine with calipers. Body is 39.9mm not the spec 40.7 and the shaft sits 10.95mm off centre. The CAD is built to my unit
Metal servo horn 20mm round,the round disc that clamps onto the servo spline. the printed hub bolts to this,1,0.00,0.00,N/A,"a 25t spline has 0.74mm teeth. no printer i have access to can resolve that, so the horn is the only thing that can actually grip the shaft",N/A,OWNED,Ships in the bag with the MG996R
,SUBTOTAL,,,0.00,,,,,
,,,,,,,,,
PARTS I STILL NEED,the funding request,,,,,,,,
SmartBin HAT PCB,"my custom hat. 2 layer, 65 x 45mm, 1.6mm fr4",1,10.54,10.54,JLCPCB,"everything between the pi and the mechanism lives on this board - the load cell amp, the mosfet, all of it",JLCPCB,TO BUY,
BC847,npn pass transistor that makes the hx711's analog supply. sot-23,1,7.49,7.49,https://www.amazon.com/Bridgold-General-Purpose-transistors-45V%EF%BC%8CSOT-23/dp/B09TKTRC77/ref=sr_1_1?crid=SJ03VWQ4V62&dib=eyJ2IjoiMSJ9.R7w0JDhAaQbsUuATASB3PXhhOtUP2Gh4TBTT24XdYYEWocDcVEPnqx6C7W1cY0LIOjAThf--fj537XFKM2CGXE0BWIBqlhJrNYFAPp4mY2H4jtcnG1f1FevMOLFxaoovjQilLHvzIApi1VcbF5MhAeHYfn2AxgmVMwxfsR1xX9WfX7a3Zg1i1DMgvn9XEZdJo7hQx3q_b2zo2OsOgFaojrbT2FljiV_3rHhm77_hZf0.9BdmkasaSsDkB84vZkuVspcgH_oBbhzckFBBOE_3nto&dib_tag=se&keywords=BC847&qid=1788138557&sprefix=bc847%2Caps%2C159&sr=8-1,makes the clean analog supply that excites the load cell bridge. feed the bridge off the noisy rail and the weight reading wanders,Amazon,TO BUY,
AO3400A,logic-level n-channel mosfet. sot-23,1,2.69,2.69,https://www.aliexpress.us/item/3256812914563457.html,switches the led ring. a pi gpio can't drive it directly,AliExpress,TO BUY,
0805 resistor pack,assorted 1% 0805 resistors. ten values used on the board,1,2.95,2.95,https://www.aliexpress.us/item/3256807158626841.html,"ten resistors spread across the board - dividers, current limits, pullups and the 0r star ground link",AliExpress,TO BUY,""
100nF and 10uF 0805 ceramic,0805 ceramic caps for decoupling and filtering,1,1.09,1.09,https://www.aliexpress.us/item/3256812352580216.html,every ic needs decoupling right at its pins or it browns itself out on its own switching noise,AliExpress,TO BUY,C1 C2 C3 C5 C6 C8
470uF 16V electrolytic,bulk cap that sits at the servo connector. 8mm radial,1,1.09,1.09,https://www.aliexpress.us/item/3256812239318084.html,the servo yanks current in spikes. without bulk sitting right at the connector that spike turns into a brownout,AliExpress,TO BUY,Mount at the connector NOT at the regulator. The trace between them is what turns a spike into a brownout
2.54mm pin headers assorted,"the 2x20 female socket for j1 plus 1x02 x4, 1x03 x2, 1x04 x1",1,12.95,12.95,https://www.amazon.com/EGSCST-2-54mm-Connector-Assortment-Breadboard/dp/B0GLHJ3DXH/ref=sr_1_10?crid=22HT1WXDPSG41&dib=eyJ2IjoiMSJ9.0yTO_CBvrUqzyO0GaMu1J8nQwPkpstSpEj-TUv4CQKI0ulI47oG-M_vzhYuRB8NXkH-dbC4oD5jRjOEdyhbx5YV327Ksz7GLUp21JBqG1-z950Bn_kyDrYNYlnyK84-lNYBsZhsaHoGQhbk_v184Fct45kMsVzcUFIO5DcSHAGzGSUVA1L-Fi-NIgDrRyOPXdlsxnoEQDhOpf4BWArgQaB7Gm587TEP3x9_2BXn4hyDudZFiKASbwo77j1-yc07qx5fQVB1Q8BAVMcZd5noCESB65u6QFm7fkGPlZ09Ydn8.nlbhc1kMYByzoYYXyRblo1hjLgwj9fnkaDmqTi9mA-U&dib_tag=se&keywords=2.54mm+pin+headers+assorted%2C1x02+1x03+1x04&qid=1788134709&s=industrial&sprefix=2.54mm+pin+headers+assorted%2C1x02+1x03+1x04%2Cindustrial%2C101&sr=1-10,"everything off-board plugs in here - load cell, servo, led ring and break-beam. the 2x20 socket is how the hat sits on the pi",Amazon,TO BUY,Covers all eight connectors including the 2x20 female socket the HAT sits on
Raspberry Pi Camera Module 2,8mp fixed focus camera. shoots the item top down,1,9.49,9.49,https://www.amazon.com/Camera-Arducam-Raspberry-Raspbian-MotionEye/dp/B01LY05LOE/ref=sr_1_4?crid=21F4MNTCLO9C&dib=eyJ2IjoiMSJ9.J9Nthwpd2EPDU2bpYb40cZGJqvfBXmjkv1G9xTYSALnwDvs8FW28nxs6QYXpQbO3AbMZJxsj_iMXOyBP19vEKS-5lshqXapkrSXH_yLkMLFESNzy7r1XaSnZ-uZKFKLOSc-3hLOXFUFwuPSkG_l-fwBS-SnAQHB4OC-15C3Ah7rCErysYSVqDlLCTwmOhWDzAojV77ZmVs2cUFkh4pttXDiYhT_Zsl5Q0KRiWaFGac8.G9J-9vQCerpSpeGDTdjiCISCZZ7xQlQuLllp6Gw8qts&dib_tag=se&keywords=Camera+Module+2&qid=1788138381&sprefix=camera+module+%2Caps%2C157&sr=8-4,takes the photo the classifier runs on. fixed focus is fine because the camera and the pan never move relative to each other,Amazon,TO BUY,Ships with the 22-pin Zero cable. Mount is not modelled in CAD yet
5kg bar load cell,strain gauge bar that weighs the item. 80 x 12.7 x 12.7mm,1,1.41,1.41,https://www.aliexpress.us/item/3256811688585956.html,weight catches what a photo can't. a full drink and an empty can look identical to a camera,AliExpress,TO BUY,"Buy the CELL ONLY. Kits bundle an HX711 module you do not need - the HAT already has one, and those modules run at 5V not 3.3V"
White LED ring 60mm,"5v white ring that lights the pan. 60mm outer, 44mm inner",1,5.94,5.94,https://www.amazon.com/XJVSS-Car-Halo-Rings-Headlights/dp/B0GX1DMHWS/ref=sr_1_4?crid=2T7V4CC2NJMOH&dib=eyJ2IjoiMSJ9.azTOu80p8xP-AoOAkRY9oX2WoFsjxPZlGWBHSXiqBdcsMYzUp2Ll53HATjJzVeXClYFs1wIwKfVki0__uBf0xl1U64221FaNNuvgeub2N16d4tDgPD6GDz9ErG2e3ah7cWCB6imLJRlgHuIS10JMoYNqvDKtC8WjOx8rYqS5qAuGCDWpraRjdTYs_rFf0rY8Jfp9bZxz5N1InojTpv8y21LMsbjKdzrE1xmcG1kgMry7_hSc8F0_JlYBAU2mq3S8mTMevxomjSpG6d4H-Uq-LCw5pHugf1RVNQBktvKLq10.84gnuBkrVAdcfeTrecPOKr06Rmrp3tiAez0c1si_ywo&dib_tag=se&keywords=White%2BLED%2Bring%2B60mm&qid=1788134886&sprefix=white%2Bled%2Bring%2B60mm%2Caps%2C124&sr=8-4&th=1,so every photo the classifier sees is lit the same way. light inside a bin varies wildly and the model shouldn't have to cope with that,Amazon,TO BUY,Retainer is not modelled in CAD yet MUST be 5V - J7 pin 1 is fed from the +5V rail. A 12V ring will not light
IR break-beam sensor pair,emitter and receiver across the throat. 5mm barrel,1,11.99,11.99,https://www.amazon.com/Sensors-Photoelectric-Switches-Infrared-Modules/dp/B0GWWPDLP9/ref=sr_1_2_sspa?crid=F4TSC8JOHUQT&dib=eyJ2IjoiMSJ9.p9a927egefp923t7Zr1GelqksbPZErE_AJXfJTbG2ssUjudZ20EuCkUAhBtcH8gk2_ABQ9nZNo7mE82kFHzNHjivL1lDa29VGuKQJRZCVJu9cndCP7kcLATNB352Ypm62Rr2I48MqTXxpbDQZD9NuLQrnTfL8tOILJ-EJyFdRKm5BaU8iXy2tD1ox1UNkvCtTQWqZKO06VQi9f9y4_STNQZKRCIzU22BwdsHPk6sOXM.htr7hWV_DxpdN4A9U_LmshV77w_YIa9EjrbDKnmgWg4&dib_tag=se&keywords=IR+break-beam+sensor+pair&qid=1788134944&sprefix=ir+break-beam+sensor+pair%2Caps%2C233&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,the trigger for everything. without it the pi has no idea something arrived,Amazon,TO BUY,
608ZZ bearing,skateboard bearing the pan turns on. 22 od x 8 id x 7 w,1,5.19,5.19,https://www.amazon.com/uxcell-Bearings-Electric-Appliances-Machinery/dp/B0DMDJXWJD/ref=sr_1_5?crid=16UHQHCN5SMNP&dib=eyJ2IjoiMSJ9.hJ2IyFth5hwRQ0PhYJp7YtMSkOKv3rDzlm7X0MOkdbK8bOYSn1FCugBly9UtoJUedmFtpbgkQ9xt1RvIq_1oaOz3v-z9LuITa4OIUgfJvGSoSZrUAl93pVhBQBFX45FblXYegOysGml-nBg2uItmSW_CbJKD0wNiM7IAmDvInhh6Y0FeiDmfERqd9H2E2ChSG9OgYbF7SnxypxSiZ2GZNLSIaAIMTUwbkCrXmCBXY-o.UmGKhanKkQ4ibS3hThqQJqJ2CToB0i0q09wpt9sw8z0&dib_tag=se&keywords=608ZZ%2Bbearing&qid=1788135013&refinements=p_76%3A1249128011&rnid=1249126011&rps=1&sprefix=608zz%2Bbearing%2Caps%2C143&sr=8-5&th=1,carries the free end of the pan. without it the whole pan hangs off the servo shaft and the gearbox takes the load,Amazon,TO BUY,
5-6V buck converter,makes the servo's own 5-6v rail. 3a minimum,1,3.73,3.73,https://www.aliexpress.us/item/3256808547890212.html,the servo gets its own supply. share a regulator with the pi and a stalling servo browns out the pi and corrupts the sd card,AliExpress,TO BUY,Must NOT share a regulator with the Pi. The two grounds meet at exactly one 0R link on the board. MG996R pulls about 2.5A stalled so anything under 3A will brown out
"M2.5, M3, M4 screws and nuts",the fasteners that hold the mechanism together,1,5.25,5.25,https://www.aliexpress.us/item/3256807092650644.html,"holds the mechanism together - idler to pan, brackets to the base plate, pi to its mount",AliExpress,TO BUY,
M2.5 x 10mm standoffs and screws,holds the hat off the pi so the two boards can't short,1,5.21,5.21,https://www.aliexpress.us/item/3256803016697405.html,keeps the hat off the pi so nothing on either board touches the other,AliExpress,TO BUY,58 x 23mm hole pattern
HX711,"24-bit bridge adc. sop-16, sits on the hat",1,3.02,3.02,https://www.aliexpress.us/item/3256808945353273.html,reads the load cell. a bare strain gauge puts out microvolts and nothing else in the build can see a signal that small,AliExpress,TO BUY,Buy the bare SOP-16 chip. It goes ON the HAT. Do NOT buy an HX711 breakout module
USB C Female to Micro USB Male Adapter,"lets my pi 4b supply plug into the zero. usb-c one end, micro usb the other",1,4.68,4.68,https://www.amazon.com/Adapter-Converter-Compatible-Samsung-Devices/dp/B0GR3XK1FG/ref=sr_1_17_sspa?crid=1XMTH6AI0HTVE&dib=eyJ2IjoiMSJ9.pFI3M3IbSCmatxi6sA5OcJnfrWIqvok0RJIDvWpf9hIA7U54R4pk1UUc94umISC84cSZK6l9gc9Ot1HVxdtfwM942V2kxmb-DiLX7gyOufKsNG15rJiIclZlndDAiT8i7-3PvSDymZmamvMB4aR43-wfaZOdvvdzIy02OKpXY9Hq4QxtFb6rDmO9bBEX25w5uRPhNB93_-YBif8pODhpAXzmWkcp55KMuTXdflcpA8E.WKA8xV76VV65ORjh53Kj6-NX78LwOlyaocTHWhsjaC4&dib_tag=se&keywords=usb%2Bc%2Bfemale%2Bto%2Bmicro%2Busb%2Badapter&nsdOptOutParam=true&qid=1788138157&sprefix=usb%2Bc%2Bfemale%2Bto%2Bmicro%2Busb%2Caps%2C131&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1,so i can use the pi 4b supply i already own instead of buying another one. the 4b supply is usb-c with a fixed cable and the zero takes micro usb,Amazon,TO BUY,"Saves buying a second power supply. Plug into the port marked PWR IN, not the OTG one next to it"
32 GB MicroSD Card,the pi's only storage. a1 rated so it loads the model quick enough,1,13.99,13.99,https://www.amazon.com/High-Speed-Performance-Compatible-Portable-Devices%EF%BC%881/dp/B0GL9L4L9P/ref=sr_1_2_sspa?crid=26K6LGXKA7AK&dib=eyJ2IjoiMSJ9.hsr1OUORqrPs9SB5beMC_bIzKCfqdptsTJapr93XINnKmE6Uxe0isjofgTX23taQbcC84xBHHwzoCooEs3PS3bWJqjzJ-fZGbxw6QmFMhlyEzZ9jFqsba6SxgXYr-3ckujvfSR9s-lKeFp1uelgg4OVYI6ZVeP6KbDdQwjQ0R3ptefMp6rEkjSOqo4BKL3DPwXsSZxSrCOmrKAxuRAeFanjb6u_bfRwcHwiis79-V4.d0GvF-O8TETzecieieXv4i94VuVJUGyJMtQdjgRW2c4&dib_tag=se&keywords=32+gb+a1+micro+sd+card&qid=1788137711&sprefix=32+GB+A1%2Caps%2C185&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,the pi has no storage of its own. it won't boot without one,Amazon,TO BUY,A1 rated so random reads are quick enough to load the model
Pi Zero 2 W,"the brain. 512mb, runs the whole sort loop",1,36.99,36.99,https://www.amazon.com/EC-Buying-Pi-Zero-Development/dp/B0FN4CN7TM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fCfxdNfJB1r2MGUVdw6I0uKYc2Nj_i_3smLq4JtKGJTtw-WMj6gLm56FZFduQnGvN6tmZJt50fMFiqgONstKMpGVZ6QBa-Ny5XWLOXqMG_kXr_5VhfjisOv7P7gHht7wPWePA2gm9uTlDM-mME68Pg4GKH3chWqssn6FMAM-MCm-WLLqZjn-F-GeXNyVJhmgKqfRxTSeJjhjpzPzSa_Ue5G1O9fsXuYEaFnLUtPbANI.ArdktZhzVyG1XriB9hTj5ifIfWgXm-2fyK_KTUNfl3M&dib_tag=se&keywords=Pi+Zero+2+W&qid=1788137682&sr=8-6,"runs the whole loop - trigger, capture, classify, tilt, log. i picked it over a 4b because it idles at 0.4w instead of 2.7w and this thing can never sleep between items",Amazon,TO BUY,Bought bare instead of a starter kit
,,,TOTAL,145.69,,,,,
,,,,,,,,,
,,,,,,,,,
