Item,Description,Qty,Unit Price USD,Total USD,Item link,Why I need it,Supplier,Status,Notes
ALREADY OWN,no cost. these are on hand,,,,,,,,
MG996R servo,Metal gear servo. 55g. 25T spline. measured 39.9 x 19.7 x 42.9mm,1,0.00,0.00,N/A,The only actuator in the build. Tilts the pan so the item slides one way or the other,N/A,OWNED,Measured mine with calipers. Body is 39.9mm not the spec 40.7 and the shaft sits 10.95mm off centre. The CAD is built to my unit
Metal servo horn 20mm round,Couples the servo spline to the printed pan hub,1,0.00,0.00,N/A,A 25T spline has 0.74mm teeth which no FDM printer can resolve. The horn is the only thing that can grip the shaft,N/A,OWNED,Ships in the bag with the MG996R
,SUBTOTAL,,,0.00,,,,,
,,,,,,,,,
PARTS I STILL NEED,the funding request,,,,,,,,
Raspberry Pi Zero 2 W,Deployment compute board. 512MB RAM. Starter kit,1,79.99,79.99,https://www.amazon.com/CanaKit-Raspberry-Wireless-Complete-Starter/dp/B07CMVDHWB/ref=sr_1_2?crid=1DR323D8CY6FR&dib=eyJ2IjoiMSJ9.abrVK6sj7aX0-xJjszD2k3StFFveDuTIZc3oeS_wF7JPr7FgNM0So3zf7AXfvKlHFiCiwnfMLQwhoSGJgQv508GGJczuj36Xyckzv8HinTLXXuULPtWfKp5ceghqtrG8QakSBKjVSMO1yCAdYgekVwhFljFpceZIPGWYhgV-HK8aLYdWMxy-FEbY8Atw2tYzO5L7111ejaokCbVFxrDreOIPCt9BNjbt4FHZkSB-kgI.z2LweT074wnN1jy2wdv9OoBeok836Jrkb2fJe9mLrBI&dib_tag=se&keywords=Raspberry+Pi+Zero+2+W&qid=1788132656&sprefix=raspberry+pi+zero+2+w%2Caps%2C201&sr=8-2,Runs everything - trigger capture classify actuate and log. Idles at 0.4W against the 4B's 2.7W which matters because the Pi can never sleep between items,Raspberry Pi,TO BUY,"Kit includes the 32GB microSD and the 5V supply, so those are not separate lines. Check whether it also ships the 22-pin camera cable"
SmartBin HAT PCB,Custom Pi Zero HAT. 2 layer. 65 x 45mm. 1.6mm FR4,1,10.54,10.54,JLCPCB,Everything between the Pi and the mechanism lives on this board. The load cell amp the ADC and the MOSFET are all on it,JLCPCB,TO BUY,Gerbers are exported and DRC clean. TBD until JLCPCB quotes it. A 2 layer board this size is usually a few dollars for five plus shipping
MCP3208,12-bit SPI ADC. SOIC-16,1,18.00,18.00,https://www.amazon.com/Microchip-Technology-MCP3208-CI-SL-Quantity-3/dp/B071ZJ3WD5/ref=sr_1_1?crid=1MIB9STQVHY4J&dib=eyJ2IjoiMSJ9.L5NzRk2MFyDmX_Vh7oNZ33lFpeHV0ZdWl58okSD1AsMwYVj4JkmMKk5CI4x8W94_1z-6Vi2LjSZJdgZW8hcA-RoDkYHtDPGkhmvuI8bWHIhNOWawLNf1rQET0JNQmfkfoE8wOg48Vxb_AWBnP6Pyx7o-Q9C_qCj_kqF6HJtK9hVe50AxK64NeXZdjkZpf_i6GSRx2d25NJ3_NW6EkiCET_rIi-3KSi8R-DQA08rUuFQ.z3IrBNQGNrCqedVh6wwFR9EEYbprdJAorCtJ_qo72Og&dib_tag=se&keywords=MCP3208%2C12-bit+SPI+ADC.+SOIC-16&qid=1788133163&sprefix=mcp3208%2C12-bit+spi+adc.+soic-16%2Caps%2C135&sr=8-1,The Pi has no analog input at all. Without this the battery voltage simply cannot be read,LCSC,TO BUY,MCP3008 is pin compatible if 10-bit is good enough
BC847,NPN pass transistor for the HX711 AVDD regulator. SOT-23,1,7.99,7.99,https://www.amazon.com/100pcs-BC847B-General-Purpose-Transistor/dp/B0DQJJWVNZ/ref=sr_1_1?crid=1ZQFWAC0HV93S&dib=eyJ2IjoiMSJ9.gu0VC7me8eqxSwXisfuDMQNfTwYrjiNrjFlarvzfD2g4DlBV1hRrurv0gcFzv_ODZnRyVCMM3OJN1s97RDEOpIM5I6LFrRxQAxLINfHI1XR0V_i-VMtmH_2Zb5XfDOgI2ewyADHmoG7-_Om6LbgMYGhw5InflBwgxzpizYFfgl3w_VUJvLTu6X4J12OyquH9xMZN1wdDiN3LexqYtPpSiIfPvXo7JHEgEQDl7Nwl4dg.017K9q9Y9-0AWkETLFWsHv0IWWWQOQ7kp8WU_ma7vyw&dib_tag=se&keywords=BC847%2CNPN+pass+transistor+for+the+HX711+AVDD+regulator.+SOT-23&nsdOptOutParam=true&qid=1788133202&sprefix=bc847%2Cnpn+pass+transistor+for+the+hx711+avdd+regulator.+sot-23%2Caps%2C212&sr=8-1,Generates the analog supply that excites the load cell bridge,LCSC,TO BUY,SOT-23 pinout is base-emitter-collector not BCE. Getting this backwards ships a dead board
