"Reference","Value","Footprint","Description"
"C1-C3,C5,C6,C8","100nF","Capacitor_SMD:C_0805_2012Metric","AVDD decoupling,Battery sense filter,HX711 bandgap reference,HX711 supply decoupling,MCP3008 decoupling,Servo rail high-frequency decoupling"
"C4","10uF","Capacitor_SMD:C_0805_2012Metric","AVDD bulk, the excitation supply for the load cell"
"C7","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Bulk capacitance, place at the servo connector not the regulator"
"H1-H4","M2.5","MountingHole:MountingHole_2.7mm_M2.5","Pi Zero mounting hole, 58 x 23 mm pattern"
"J1","Pi GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","40-pin Raspberry Pi header, fits Zero 2 W and 4B"
"J3","Load cell","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Bar load cell: E+, E-, A+, A-"
"J4","Servo supply","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Servo rail input, 5 to 6 V, separate from the Pi supply"
"J5","Servo","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","MG996R: signal, V+, GND"
"J6","Battery sense","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","12 V nominal battery tap, sense only"
"J7","LED ring","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","White LED ring, switched low side"
"J8","Beam RX","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","IR receiver: V+, OUT, GND"
"J9","Beam TX","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","IR emitter: anode, cathode"
"Q1","BC847","Package_TO_SOT_SMD:SOT-23","Pass transistor for the HX711 internal AVDD regulator"
"Q2","AO3400A","Package_TO_SOT_SMD:SOT-23","Logic-level low-side switch for the LED ring"
"R1","12k","Resistor_SMD:R_0805_2012Metric","AVDD feedback upper"
"R2","11k","Resistor_SMD:R_0805_2012Metric","AVDD feedback lower, sets AVDD to about 2.6 V"
"R3,R7","100k","Resistor_SMD:R_0805_2012Metric","Battery divider upper,Gate pulldown, holds the ring off while the Pi boots"
"R4","22k","Resistor_SMD:R_0805_2012Metric","Battery divider lower, 12 V in gives 2.16 V out"
"R5","220R","Resistor_SMD:R_0805_2012Metric","Series resistor on the servo pulse line"
"R6","100R","Resistor_SMD:R_0805_2012Metric","Gate series resistor"
"R8","10k","Resistor_SMD:R_0805_2012Metric","Pull-up on the break-beam receiver output"
"R9","150R","Resistor_SMD:R_0805_2012Metric","IR emitter current limit, about 14 mA"
"R10","0R","Resistor_SMD:R_1206_3216Metric","Star ground point, the only tie between servo and Pi grounds"
"U1","HX711","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","24-bit bridge ADC for the load cell, run at 3V3 so both signals are Pi-safe"
"U2","MCP3208","Package_DIP:DIP-16_W7.62mm","12-bit SPI ADC so the Pi can measure battery voltage"
